exposure_id,total_volatility,risk_premium_volatility,inflation_volatility,real_rf_volatility,uncompensated_risk,risk_premium_percentage,sample_size
us_large_equity,0.041624424973565034,0.04052680675666791,0.010667233137058914,0.013610461945852163,0.0010976182168971269,97.36304293069705,28
us_small_equity,0.041624424973565034,0.04052680675666791,0.010667233137058914,0.013610461945852163,0.0010976182168971269,97.36304293069705,28
intl_developed_large_equity,0.041624424973565034,0.04052680675666791,0.010667233137058914,0.013610461945852163,0.0010976182168971269,97.36304293069705,28
intl_developed_small_equity,0.041624424973565034,0.04052680675666791,0.010667233137058914,0.013610461945852163,0.0010976182168971269,97.36304293069705,28
emerging_equity,0.041624424973565034,0.04052680675666791,0.010667233137058914,0.013610461945852163,0.0010976182168971269,97.36304293069705,28
short_ust,0.041624424973565034,0.04052680675666791,0.010667233137058914,0.013610461945852163,0.0010976182168971269,97.36304293069705,28
broad_ust,0.041624424973565034,0.04052680675666791,0.010667233137058914,0.013610461945852163,0.0010976182168971269,97.36304293069705,28
real_estate,0.041624424973565034,0.04052680675666791,0.010667233137058914,0.013610461945852163,0.0010976182168971269,97.36304293069705,28
commodities,0.041624424973565034,0.04052680675666791,0.010667233137058914,0.013610461945852163,0.0010976182168971269,97.36304293069705,28
gold,0.041624424973565034,0.04052680675666791,0.010667233137058914,0.013610461945852163,0.0010976182168971269,97.36304293069705,28
tips,0.041624424973565034,0.04052680675666791,0.010667233137058914,0.013610461945852163,0.0010976182168971269,97.36304293069705,28
factor_style_equity,0.013885045550197712,0.013205037932977934,0.010667233137058914,0.013610461945852163,0.0006800076172197786,95.10258994281732,28
factor_style_other,0.013885045550197712,0.013205037932977934,0.010667233137058914,0.013610461945852163,0.0006800076172197786,95.10258994281732,28
dynamic_global_bonds,0.013885045550197712,0.013205037932977934,0.010667233137058914,0.013610461945852163,0.0006800076172197786,95.10258994281732,28
