Exposure,Risk_Premium_Vol,Total_Return_Vol,Uncompensated_Risk,RP_Percentage,Inflation_Vol,Real_RF_Vol,Sample_Size
us_large_equity,0.040526789783235304,0.04162441358086519,0.0010976237976298847,0.9736302880160103,0.010667233137058914,0.013610461945852163,28
us_small_equity,0.040526789783235304,0.04162441358086519,0.0010976237976298847,0.9736302880160103,0.010667233137058914,0.013610461945852163,28
intl_developed_large_equity,0.040526789783235304,0.04162441358086519,0.0010976237976298847,0.9736302880160103,0.010667233137058914,0.013610461945852163,28
intl_developed_small_equity,0.040526789783235304,0.04162441358086519,0.0010976237976298847,0.9736302880160103,0.010667233137058914,0.013610461945852163,28
emerging_equity,0.040526789783235304,0.04162441358086519,0.0010976237976298847,0.9736302880160103,0.010667233137058914,0.013610461945852163,28
factor_style_equity,0.01320510290876648,0.013885128443004163,0.0006800255342376826,0.9510249014239185,0.010667233137058914,0.013610461945852163,28
factor_style_other,0.01320510290876648,0.013885128443004163,0.0006800255342376826,0.9510249014239185,0.010667233137058914,0.013610461945852163,28
short_ust,0.040526789783235304,0.04162441358086519,0.0010976237976298847,0.9736302880160103,0.010667233137058914,0.013610461945852163,28
broad_ust,0.040526789783235304,0.04162441358086519,0.0010976237976298847,0.9736302880160103,0.010667233137058914,0.013610461945852163,28
dynamic_global_bonds,0.01320510290876648,0.013885128443004163,0.0006800255342376826,0.9510249014239185,0.010667233137058914,0.013610461945852163,28
real_estate,0.040526789783235304,0.04162441358086519,0.0010976237976298847,0.9736302880160103,0.010667233137058914,0.013610461945852163,28
commodities,0.040526789783235304,0.04162441358086519,0.0010976237976298847,0.9736302880160103,0.010667233137058914,0.013610461945852163,28
gold,0.040526789783235304,0.04162441358086519,0.0010976237976298847,0.9736302880160103,0.010667233137058914,0.013610461945852163,28
tips,0.040526789783235304,0.04162441358086519,0.0010976237976298847,0.9736302880160103,0.010667233137058914,0.013610461945852163,28
