,us_large_equity,us_small_equity,intl_developed_large_equity,intl_developed_small_equity,emerging_equity,factor_style_equity,factor_style_other,trend_following,cash_rate,short_ust,broad_ust,dynamic_global_bonds,real_estate,commodities,gold,tips
us_large_equity,1.0,0.8431390493019855,0.8412935382158389,0.8275077668323135,0.6305147512564862,-0.19387412035512575,-0.05714425263564946,-0.30378559379742714,0.15142705064199136,0.35485393646542873,0.5162055256866886,0.6074181725970234,0.8632923635334797,0.2636599908482352,0.11709237133484895,0.6622413430039037
us_small_equity,0.8431390493019855,1.0,0.7649189470589689,0.7921462425858585,0.605132320004316,-0.20582483870967694,-0.0346992130816396,-0.1463065153359605,0.10644956622656807,0.2760301362429434,0.407096770473664,0.5948118041121903,0.8025658853379448,0.2742462780986518,0.008161602212154354,0.5414418670473993
intl_developed_large_equity,0.8412935382158389,0.7649189470589689,1.0,0.9756609423161878,0.8038938919104353,-0.04495221655459272,0.02721135286448941,-0.3522955422866205,0.20654444467908856,0.507513947945174,0.6316620901357093,0.6948419215191401,0.8224134201508199,0.31734607472842413,0.3232422055976759,0.7030325902605299
intl_developed_small_equity,0.8275077668323135,0.7921462425858585,0.9756609423161878,1.0,0.7869377181552293,-0.07926516086365092,-0.006127094932716795,-0.3377421830695729,0.221207898700522,0.507333758905013,0.6232338982178122,0.7204793797610916,0.8352522233493914,0.30683970928289417,0.3122558693464145,0.7085134086005388
emerging_equity,0.6305147512564862,0.605132320004316,0.8038938919104353,0.7869377181552293,1.0,-0.10409660807001299,-0.07758036718030922,-0.31859595267676777,0.2616594125790501,0.48802873927637824,0.5716662466682747,0.6654564501872614,0.6285377042224378,0.30584570810154765,0.3627716286671364,0.545499246990795
factor_style_equity,-0.19387412035512575,-0.20582483870967694,-0.04495221655459272,-0.07926516086365092,-0.10409660807001299,1.0,0.8454194687097979,0.1152688808513196,0.08156445688320094,-0.03723004511156862,-0.23971307809820616,-0.0013931749124634657,-0.2218156883672052,0.25547088633308124,0.039627778498838126,-0.13237584786993767
factor_style_other,-0.05714425263564946,-0.0346992130816396,0.02721135286448941,-0.006127094932716795,-0.07758036718030922,0.8454194687097979,1.0,0.1363677076793631,-0.03650288853481469,-0.12583651817245295,-0.2301530817652046,0.015327564840350414,-0.1147120302383723,0.32619078968494974,-0.20069133841063702,-0.09521410366468817
trend_following,-0.30378559379742714,-0.1463065153359605,-0.3522955422866205,-0.3377421830695729,-0.31859595267676777,0.1152688808513196,0.1363677076793631,1.0,-0.2767928505822021,-0.634117577574994,-0.7171709247663156,-0.5386270265496914,-0.28464153995277763,0.28271815993929855,-0.23829031177171967,-0.6116710008176783
cash_rate,0.15142705064199136,0.10644956622656807,0.20654444467908856,0.221207898700522,0.2616594125790501,0.08156445688320094,-0.03650288853481469,-0.2767928505822021,1.0,0.689843597404858,0.3729316920050572,0.6121115303719868,0.056162349507111305,-0.22649871221143328,0.28030960783719217,0.3296237742889076
short_ust,0.35485393646542873,0.2760301362429434,0.507513947945174,0.507333758905013,0.48802873927637824,-0.03723004511156862,-0.12583651817245295,-0.634117577574994,0.689843597404858,1.0,0.8470660449440328,0.830036506398376,0.37239305293516495,-0.12117855248784735,0.4321356042531196,0.7442898423124027
broad_ust,0.5162055256866886,0.407096770473664,0.6316620901357093,0.6232338982178122,0.5716662466682747,-0.23971307809820616,-0.2301530817652046,-0.7171709247663156,0.3729316920050572,0.8470660449440328,1.0,0.8024282183883412,0.5932500366203971,-0.12769642268591003,0.4161689256075271,0.8416636924788757
dynamic_global_bonds,0.6074181725970234,0.5948118041121903,0.6948419215191401,0.7204793797610916,0.6654564501872614,-0.0013931749124634657,0.015327564840350414,-0.5386270265496914,0.6121115303719868,0.830036506398376,0.8024282183883412,1.0,0.6051077436701083,0.04383727161533805,0.30737210474382864,0.7816815859089108
real_estate,0.8632923635334797,0.8025658853379448,0.8224134201508199,0.8352522233493914,0.6285377042224378,-0.2218156883672052,-0.1147120302383723,-0.28464153995277763,0.056162349507111305,0.37239305293516495,0.5932500366203971,0.6051077436701083,1.0,0.2666139777855863,0.21237039872959582,0.6982499407574002
commodities,0.2636599908482352,0.2742462780986518,0.31734607472842413,0.30683970928289417,0.30584570810154765,0.25547088633308124,0.32619078968494974,0.28271815993929855,-0.22649871221143328,-0.12117855248784735,-0.12769642268591003,0.04383727161533805,0.2666139777855863,1.0,0.07391265579240247,0.16597702537284806
gold,0.11709237133484895,0.008161602212154354,0.3232422055976759,0.3122558693464145,0.3627716286671364,0.039627778498838126,-0.20069133841063702,-0.23829031177171967,0.28030960783719217,0.4321356042531196,0.4161689256075271,0.30737210474382864,0.21237039872959582,0.07391265579240247,1.0,0.43485794206629264
tips,0.6622413430039037,0.5414418670473993,0.7030325902605299,0.7085134086005388,0.545499246990795,-0.13237584786993767,-0.09521410366468817,-0.6116710008176783,0.3296237742889076,0.7442898423124027,0.8416636924788757,0.7816815859089108,0.6982499407574002,0.16597702537284806,0.43485794206629264,1.0
